
 1  owl:Thing 
 1.2.5.7.26.2.3  NascarDriver  
 1.2.5.7.26.2.4  RallyDriver  
 1.2.5.7.27  NationalCollegiateAthleticAssociationAthlete  
 1.2.5.7.28  NetballPlayer  
 1.2.5.7.29  PokerPlayer  
 1.2.5.7.30  Rower  
 1.2.5.7.31  RugbyPlayer  
 1.2.5.7.32  SnookerPlayer  
 1.2.5.7.32.1  SnookerChamp  
 1.2.5.7.33  SoccerPlayer  
 1.2.5.7.34  SquashPlayer  
 1.2.5.7.35  Surfer  
 1.2.5.7.36  Swimmer  
 1.2.5.7.37  TableTennisPlayer  
 1.2.5.7.38  TeamMember  
 1.2.5.7.39  TennisPlayer  
 1.2.5.7.40  VolleyballPlayer  
 1.2.5.7.40.1  BeachVolleyballPlayer  
 1.2.5.7.41  WaterPoloPlayer  
 1.2.5.7.42  WinterSportPlayer  
 1.2.5.7.42.1  Biathlete  
 1.2.5.7.42.2  BobsleighAthlete  
 1.2.5.7.42.3  CrossCountrySkier  
 1.2.5.7.42.4  Curler  
 1.2.5.7.42.5  FigureSkater  
 1.2.5.7.42.6  IceHockeyPlayer  
 1.2.5.7.42.7  NordicCombined  
 1.2.5.7.42.8  Skater  
 1.2.5.7.42.9  Ski_jumper  
 1.2.5.7.42.10  Skier  
 1.2.5.7.42.11  SpeedSkater  
 1.2.5.7.43  Wrestler  
 1.2.5.7.43.1  SumoWrestler  
 1.2.5.8  BeautyQueen  
 1.2.5.9  BusinessPerson  
 1.2.5.10  Celebrity  
 1.2.5.11  Chef  
 1.2.5.12  Cleric  
 1.2.5.12.1  Cardinal  
 1.2.5.12.2  ChristianBishop  
 1.2.5.12.3  ChristianPatriarch  
 1.2.5.12.4  Pope  
 1.2.5.12.5  Priest  
 1.2.5.12.6  Saint  
 1.2.5.12.7  Vicar  
 1.2.5.13  Coach  
 1.2.5.13.1  AmericanFootballCoach  
 1.2.5.13.2  CollegeCoach  
 1.2.5.13.3  VolleyballCoach  
 1.2.5.14  Criminal  
 1.2.5.14.1  Murderer  
 1.2.5.14.1.1  SerialKiller  
 1.2.5.15  Economist  
 1.2.5.16  Egyptologist  
 1.2.5.17  Engineer  
 1.2.5.18  Farmer  
 1.2.5.19  FictionalCharacter  
 1.2.5.19.1  ComicsCharacter  
 1.2.5.19.1.1  AnimangaCharacter  
 1.2.5.19.2  DisneyCharacter  
 1.2.5.19.3  MythologicalFigure  
 1.2.5.19.4  NarutoCharacter  
 1.2.5.19.5  SoapCharacter  
 1.2.5.20  HorseTrainer  
 1.2.5.21  Journalist  
 1.2.5.22  Judge  
 1.2.5.23  Lawyer  
 1.2.5.24  Linguist  
 1.2.5.25  MemberResistanceMovement  
 1.2.5.26  MilitaryPerson  
 1.2.5.27  Model  
 1.2.5.28  Monarch  
 1.2.5.29  MovieDirector  
 1.2.5.30  Noble  
 1.2.5.31  OfficeHolder  
 1.2.5.32  OrganisationMember  
